IP,Time,URL,Status,Method,HTTP
10.128.2.1,2017-11-29 06:58:55,/login.php,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 06:59:02,/process.php,302,POST,HTTP/1.1
10.128.2.1,2017-11-29 06:59:03,/home.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 06:59:04,/js/vendor/moment.min.js,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 06:59:06,/bootstrap-3.3.7/js/bootstrap.js,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 06:59:19,/profile.php?user=bala,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 06:59:19,/js/jquery.min.js,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 06:59:19,/js/chart.min.js,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 06:59:30,/edit.php?name=bala,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 06:59:37,/logout.php,302,GET,HTTP/1.1
10.131.2.1,2017-11-29 06:59:37,/login.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 07:00:19,/login.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 07:00:21,/login.php,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 13:31:27,/,302,GET,HTTP/1.1
10.130.2.1,2017-11-29 13:31:28,/login.php,200,GET,HTTP/1.1
10.129.2.1,2017-11-29 13:38:03,/process.php,302,POST,HTTP/1.1
10.131.0.1,2017-11-29 13:38:04,/home.php,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 13:38:07,/contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest,200,GET,HTTP/1.1
10.130.2.1,2017-11-29 13:38:19,/,302,GET,HTTP/1.1
10.131.2.1,2017-11-29 13:38:20,/login.php,200,GET,HTTP/1.1
10.131.2.1,2017-11-29 13:38:20,/css/bootstrap.min.css,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 13:38:20,/css/font-awesome.min.css,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 13:38:20,/css/normalize.css,200,GET,HTTP/1.1
10.128.2.1,2017-11-29 13:38:20,/css/style.css,200,GET,HTTP/1.1
10.131.0.1,2017-11-29 13:38:20,/js/vendor/modernizr-2.8.3.min.js,200,GET,HTTP/1.1
